DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q4,751226,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q3,712448,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,GRC,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q4,52575.8,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,GRC,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q3,50548.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2014-Q1,603505,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,DEU,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2013-Q4,619264,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2010-Q4,37426.9,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2010-Q3,36019.5,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2010-Q2,36215.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2010-Q1,34371.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2009-Q4,38312.9,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2009-Q3,34391.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q1,354899.8,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q4,359648.2,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q3,336260.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q2,29769.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q1,28319.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q4,30758.9,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q3,28888.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q2,28349.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q1,26790.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q4,29099.3,,,F,1,A,6,EUR
